company_id,ticker,company_name,previous_year,current_year,previous_pattern,current_pattern,change_description
CHOLAFIN,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2021,2022,Growth Funded by Debt,Distress Signal,Moved from Growth Funded by Debt to Distress Signal
CHOLAFIN,CHOLAFIN,Cholamandalam Investment & Finance Company Ltd,2022,2023,Distress Signal,Growth Funded by Debt,Moved from Distress Signal to Growth Funded by Debt
CIPLA,CIPLA,Cipla Ltd,2013,2014,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
CIPLA,CIPLA,Cipla Ltd,2014,2015,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
CIPLA,CIPLA,Cipla Ltd,2016,2017,Mixed,Shareholder Returns,Moved from Mixed to Shareholder Returns
CIPLA,CIPLA,Cipla Ltd,2019,2020,Shareholder Returns,Liquidating Assets,Moved from Shareholder Returns to Liquidating Assets
CIPLA,CIPLA,Cipla Ltd,2020,2021,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
CIPLA,CIPLA,Cipla Ltd,2023,2024,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
COALINDIA,COALINDIA,Coal India Ltd,2013,2014,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
COALINDIA,COALINDIA,Coal India Ltd,2017,2018,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
COALINDIA,COALINDIA,Coal India Ltd,2018,2019,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
COALINDIA,COALINDIA,Coal India Ltd,2019,2020,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
COALINDIA,COALINDIA,Coal India Ltd,2021,2022,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
COALINDIA,COALINDIA,Coal India Ltd,2023,2024,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
DABUR,DABUR,Dabur India Ltd,2014,2015,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
DABUR,DABUR,Dabur India Ltd,2018,2019,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
DABUR,DABUR,Dabur India Ltd,2019,2020,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
DABUR,DABUR,Dabur India Ltd,2022,2023,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
DABUR,DABUR,Dabur India Ltd,2023,2024,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
DIVISLAB,DIVISLAB,Divis Laboratories Ltd,2016,2017,Reinvestor,Mixed,Moved from Reinvestor to Mixed
DIVISLAB,DIVISLAB,Divis Laboratories Ltd,2017,2018,Mixed,Reinvestor,Moved from Mixed to Reinvestor
DIVISLAB,DIVISLAB,Divis Laboratories Ltd,2020,2021,Reinvestor,Liquidating Assets,Moved from Reinvestor to Liquidating Assets
DIVISLAB,DIVISLAB,Divis Laboratories Ltd,2021,2022,Liquidating Assets,Reinvestor,Moved from Liquidating Assets to Reinvestor
DIVISLAB,DIVISLAB,Divis Laboratories Ltd,2022,2023,Reinvestor,Shareholder Returns,Moved from Reinvestor to Shareholder Returns
DIVISLAB,DIVISLAB,Divis Laboratories Ltd,2023,2024,Shareholder Returns,Reinvestor,Moved from Shareholder Returns to Reinvestor
DLF,DLF,DLF Ltd,2015,2016,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
DLF,DLF,DLF Ltd,2016,2017,Shareholder Returns,Distress Signal,Moved from Shareholder Returns to Distress Signal
DLF,DLF,DLF Ltd,2017,2018,Distress Signal,Reinvestor,Moved from Distress Signal to Reinvestor
DLF,DLF,DLF Ltd,2018,2019,Reinvestor,Cash Accumulator,Moved from Reinvestor to Cash Accumulator
DLF,DLF,DLF Ltd,2019,2020,Cash Accumulator,Liquidating Assets,Moved from Cash Accumulator to Liquidating Assets
DLF,DLF,DLF Ltd,2022,2023,Liquidating Assets,Shareholder Returns,Moved from Liquidating Assets to Shareholder Returns
DLF,DLF,DLF Ltd,2023,2024,Shareholder Returns,Mixed,Moved from Shareholder Returns to Mixed
DMART,DMART,Avenue Supermarts Ltd,2017,2018,Mixed,Liquidating Assets,Moved from Mixed to Liquidating Assets
DMART,DMART,Avenue Supermarts Ltd,2018,2019,Liquidating Assets,Mixed,Moved from Liquidating Assets to Mixed
